April 04, 2011,14:20,MDZhB/МДЖБ,/media/1634/UVB-76-04-04-2011-1420UTC.ogg,53 ?55 GLAKA 03 70 98 8,ГЛАКА,Second Reading GLADA
April 07, 2011,10:12,MDZhB/МДЖБ,/media/1643/S28-4625USB-2011-04-07-1012UTC.mp3,34 773 BLAGOCHINIYe 30 92 30 20 GLASIS 62 13 39 83,БЛАГОЧИНИЕ; ГЛАСИС,-
April 07, 2011,10:14,MDZhB/МДЖБ,/media/1643/S28-4625USB-2011-04-07-1012UTC.mp3,08 497 SLANEC 95 50 91 63,СЛАНЕЦ,-
April 07, 2011,10:50,MDZhB/МДЖБ,/media/1644/S28-4525USB-2011-04-07-1050UTC-ByAvare.mp3,76 831 SLAVIL'ShchIK 33 84 63 13,СЛАВИЛЬЩИК,No repeat reading of message
April 07, 2011,11:13,MDZhB/МДЖБ,/media/1645/S28-4625USB-2011-04-07-1113UTC.mp3,17 814 FLAVANON 35 02 69 13,ФЛАВАНОН,Female voice female also heard shouting in the background. Message reader pauses due to shouting
April 07, 2011,11:13,MDZhB/МДЖБ,/media/12823/s28_4625usb_20110407_1113z_m.mp3,03 144 AKUShERSKIJ 79 17 00 47 SKUTOZAVR 81 72 80 08 LISOHVOST 98 59 36 63,АКУШЕРСКИЙ; СКУТОЗАВР; ЛИСОХВОСТ,Partial recording
April 07, 2011,11:53,MDZhB/МДЖБ,/media/1646/S28-4625USB-2011-04-07-1153UTC.mp3,44 819 VISLYaTKA 18 64 90 39,ВИСЛЯТКА,-
April 07, 2011,12:05,MDZhB/МДЖБ,/media/1648/S28-4625USB-2011-04-07-1205UTC-ByAvare.mp3,50 102 BIRYuZOVYJ 45 81 75 54,БИРЮЗОВЫЙ,-
April 07, 2011,12:17,MDZhB/МДЖБ,/media/1649/S28-4625USB-2011-04-07-1217UTC-ByAvare.mp3,47 748 BIRUHA 65 71 18 45,БИРУХА,-
April 07, 2011,13:19?,MDZhB/МДЖБ,/media/1650/S28-4625USB-2011-04-07-1319UTC-ByAvare.mp3,06 094 ZhIROPOT 53 47 47 57,ЖИРОПОТ,-
April 07, 2011,13:30,MDZhB/МДЖБ,/media/1651/S28-4625USB-2011-04-07-1330UTC-ByAvare.mp3,20 765 AKROSTIK 42 03 75 07,АКРОСТИК,-
April 07, 2011,13:45,V6BY/В6БЫ,/media/1652/S28-4625USB-2011-04-07-1345UTC-ByAvare.mp3,00 262 21 943 SKOSOK 95 77 57 66 83,СКОСОК,-
April 07, 2011,12:50,V6BY/В6БЫ,,V6BY 21 943 SKOSOK 95 77 57 66 83,СКОСОК,-
April 10, 2011,11:30,MDZhB/МДЖБ,/media/1661/S28-4625USB-2011-04-10-1130UTC-ByAvare.mp3,13 945 IKONOMETR 12 26 00 05 IKONNYJ 96 96 38 79,ИКОНОМЕТР; ИКОННЫЙ,Buzzer activated before below message for 3 buzzes as if next message was not expected.
April 10, 2011,11:32,MDZhB/МДЖБ,/media/1662/S28-4625USB-2011-04-10-1132UTC-ByAvare.mp3,12 028 OKOMELYuK 10 78 56 72,ОКОМЕЛЮК,-
April 10, 2011,13:05,MDZhB/МДЖБ,/media/1662/S28-4625USB-2011-04-10-1132UTC-ByAvare.mp3,53 093 AKMIT 00 29 72 60,АКМИТ,-
April 11, 2011,13:26,MDZhB/МДЖБ,/media/1673/S28-4625USB-2011-04-11-1326UTC-ByAvare.mp3,13 059 SKLONNYJ 67 07 10 53,СКЛОННЫЙ,-
April 13, 2011,14:00,MDZhB/МДЖБ,/media/1679/S28-4625USB-2011-04-13-1400UTC-ByWebweasel.ogg,17 090 SKISLYJ 33 43 52 39,СКИСЛЫЙ,-
April 15, 2011,14:33,MDZhB/МДЖБ,,?? 3?? SLIPETR 45 ?4 91 ?1,СЛИПЕТР,-
April 19, 2011,13:37,MDZhB/МДЖБ,/media/1695/S28-4625USB-20110419-1336z-msg-ByAvare.ogg,51 332 AKVANTINTA 42 65 09 33,АКВАНТИНТА,-
April 21, 2011,9:23,MDZhB/МДЖБ,/media/13589/s28-4625usb-20110421-0923z-msg-byscansweden.ogg ,93 719 YuKAGIR 59 80 02 83,ЮКАГИР,Very low modulation. This message followed after 2 impossible to copy at 9:13 and 9:19
April 21, 2011,11:45 Approx,MDZhB/МДЖБ,/media/1706/S28-4625USB-20110421-1145z-msg-ByWebweasel.ogg,71 402 HIShchYeNIYe 31 17 50 98,ХИЩЕНИЕ,"Mistake in reading, repeat misses callsign background voice is heard then message is repeated correctly"
April 21, 2011,12:40,MDZhB/МДЖБ,/media/1709/S28-4625USB-20110421-1240z-msg-ByWebweasel.ogg ,12 065 VIChOVKA 33 65 69 53,ВИЧОВКА,-
April 21, 2011,12:45,MDZhB/МДЖБ,/media/1708/S28-4625USB-20110421-1245z-msg-ByWebweasel.ogg ,45 226 BICULLIN 89 49 24 54,БИЦУЛЛИН,-
April 21, 2011,12:55,MDZhB/МДЖБ,/media/1707/S28-4625USB-20110421-1255z-msg-ByWebweasel.ogg,98 871 BICA 56 73 49 73,БИЦА,-
April 21, 2011,13:08,MDZhB/МДЖБ,/media/1711/S28-4625USB-20110421-1308z-msg-ByWebweasel.ogg,91 390 ChIHOTA 58 00 46 81,ЧИХОТА,-
April 21, 2011,14:20,MDZhB/МДЖБ,/media/1710/S28-4625USB-20110421-1420z-msg-ByWebweasel.ogg,91 390 BIHORD 56 49 27 33,БИХОРД,danix111: In background Tarasenko says  vnimanie then same message. Format was almost same like December messages broadcasted through phone call.
April 22, 2011,13:15,MDZhB/МДЖБ,/media/1727/S28-4625USB-20110422-1315z-msg-ByWebweasel.ogg ,96 491 DIHLOROFOS 97 08 01 36,ДИХЛОРОФОС,-
April 26, 2011,14:00,MDZhB/МДЖБ,/media/1756/S28-4625USB-20110426-1400z-msg-ByWebweasel.ogg,76 497 ZhITO 14 19 92 56,ЖИТО,Female voice fast reading no mistakes.
April 27, 2011,Approx 09:00,,,,,Female voice heard reading in message format but inaudible#skip
April 27, 2011,12:30,MDZhB/МДЖБ,/media/1758/S28-4625USB-20110427-1230z-msg-ByWebweasel.ogg,45 004 RISTALIShchYe 31 97 24 58,РИСТАЛИЩЕ,Faint buzzer on low power or off most of the day female voice
April 27, 2011,12:45,MDZhB/МДЖБ,/media/1760/S28-4625USB-20110427-1245z-msg-ByWebweasel.ogg ,85 437 AL'GIN 36 31 74 60,АЛЬГИН,Female voice
April 27, 2011,13:30,MDZhB/МДЖБ,/media/1759/S28-4625USB-20110427-1330z-msg-ByWebweasel.ogg ,84 905 FLOR 22 96 59 34,ФЛОР,Female voice
April 29, 2011,09:42,MDZhB/МДЖБ,/media/1762/S28-4625USB-20110429-0942z-msg-ByAvare.ogg ,34 511 ZLLANANIN 23 44 10 35,ЗЛЛАНАНИН,Male voice
May 05, 2011,,MDZhB/МДЖБ,/media/1762/S28-4625USB-20110429-0942z-msg-ByAvare.ogg,85 144 DROChYeNA 67 96 32 99,ДРОЧЕНА,"Online stream unavailable, report from avare."
May 11, 2011,13:00,MDZhB/МДЖБ,/media/1913/S28-4625USB-20110511-1300z-msg-ByAvare.ogg,66 319 GLOTIHA 64 29 47 76,ГЛОТИХА,Male voice Avare noted a mispronouciation of the number 29. It should be dvatsc but is dvats. This is like saying  Twen nine
May 11, 2011,13:05,MDZhB/МДЖБ,/media/1911/S28-4625USB-20110511-1305z-msg-ByAvare.ogg,35 990 ILOTICIN 36 19 69 46,ИЛОТИЦИН,Male voice
May 11, 2011,14:05,MDZhB/МДЖБ,/media/1912/S28-4625USB-20110511-1405z-msg-ByAvare.ogg,22 806 HLORAPATIT 80 80 29 83,ХЛОРАПАТИТ,Male voice
May 12, 2011,,MDZhB/МДЖБ,,,,Male voice
May 12, 2011,13:25,MDZhB/МДЖБ,/media/15547/s28-4625usb-20110512-1325z-msg-byavare.ogg,16 559 ГЛОКТ 65 83 69 34,GLOKT,Male voice
May 13, 2011,13:50,MDZhB/МДЖБ,/media/15480/s28-4625usb-20110513-1350z-msg-bywebweasel.ogg ,00 760 KLOVIR 67 36 65 80,КЛОВИР,Male voice
May 17, 2011,13:30,MDZhB/МДЖБ,/media/18273/s28-4625usb-20110517-1330z-msg-bywebweasel.ogg,93 013 ALKERAN 27 56 14 43 ALKERAG,АЛКЕРАН; АЛКЕРАГ,"Male voice repeat is a different word, perhaps a mistake in the reading."
May 19, 2011,14:50,MDZhB/МДЖБ,/media/18824/s28-4625usb-20110519-1450z-msg-bywebweasel.ogg ,33 919 PLINTUSNYJ 17 91 66 50,ПЛИНТУСНЫЙ,Male voice
May 31, 2011,14:52,MDZhB/МДЖБ,/media/22383/sdr-radio_2011-05-31_155027.mp3 ,14 985 ALYeUROMYeTR 23 50 15 04,AЛEУPOMETP,Male voice
June 07, 2011,08:??,MDZhB/МДЖБ,,24 640 FLEBOTOMUS 59 26 61 36,ФЛЕБОТОМУС,Male voice
June 08, 2011,12:01,MDZhB/МДЖБ,/media/23080/s28-4625usb-20110608-1201z-msg-byavare.ogg ,93 188 HLEBOREZ 71 53 89 37,ХЛЕБОРЕЗ,-
June 15, 2011,14:10,MDZhB/МДЖБ,,90 171 ALANDAS 08 47 11 50,АЛАНДАС,-
July 06, 2011,08:15 approx,MDZhB/МДЖБ,/media/27218/s28-4625usb-20110706-0815zapprox-msg-bywebweasel.ogg ,TRITON 641 646,ТРИТОН,Female voice, new message format!#skip
July 07, 2011,09:15,MDZhB/МДЖБ,/media/27218/s28-4625usb-20110706-0815zapprox-msg-bywebweasel.ogg ,,,Male voice
July 07, 2011,11:45,MDZhB/МДЖБ,/media/30966/s28-4625usb-20110707-1145z-msg-bywebweasel.ogg,12 223 EKSGORRAN 33 84 63 12,ЭКСГОРРАН,Male voice
July 07, 2011,13:10,MDZhB/МДЖБ,/media/30969/s28-4625usb-20110707-1310z-msg-bywebweasel.ogg,30 953 OKOMYeLIYuK 42 03 75 07,ОКОМЕЛИЮК,Male voice
July 07, 2011,13:40,MDZhB/МДЖБ,/media/30972/s28-4625usb-20110707-1340z-msg-bywebweasel.ogg ,87 754 AKMIT 95 77 56 83,AKMИT,Male voice
July 07, 2011,13:55,MDZhB/МДЖБ,/media/30972/s28-4625usb-20110707-1340z-msg-bywebweasel.ogg ,30 346 SKLONNYJ 31 00 60 16,СКЛОННІЙ,Male voice
July 12, 2011,10:40,MDZhB/МДЖБ,/media/27218/s28-4625usb-20110706-0815zapprox-msg-bywebweasel.ogg ,16 3?? SKALOLNYA&nbsp; ?? ?? ?? ??,СКАЛОЛНІА,Female voice
July 20, 2011,14:55,MDZhB/МДЖБ,/media/28553/s28-4625usb-20110720-1455z-msg-bywebweasel.ogg ,27 589 BITcYaMIN 27 95 ?? ??,БИЦЯМИН,Male voice
July 20, 2011,16:15,MDZhB/МДЖБ,/media/28558/s28-4625usb-20110720-1615z-msg-bywebweasel.ogg ,50 227 ChIHOTA 98 98 23 38,ЧИХТА,"Male voice, Avare notes: This is a new voice and the end numbers were read quickly."
July 25, 2011,08:12,MDZhB/МДЖБ,/media/32287/s28-4625usb-20110725-0812z-msg-bywebweasel.ogg ,75 389 ZhITO 56 73 49 73,ЖИТО,Male voice
July 25, 2011,08:22,MDZhB/МДЖБ,/media/32290/s28-4625usb-20110725-0822z-msg-bywebweasel.ogg ,50 267 DITIONIT 58 00 46 81,ДИТИОНИТ,Male voice
July 25, 2011,09:05,MDZhB/МДЖБ,/media/32293/s28-4625usb-20110725-0900z-msg-bywebweasel.ogg ,45 472 VITIYe 56 49 27 33 SITAR 97 08 01 36,ВИТИЕ СИТАР,Male voice
July 25, 2011,12:05,MDZhB/МДЖБ,/media/32296/s28-4625usb-20110725-1205z-msg-bywebweasel.ogg ,34 700 LISOHVOST 40 95 59 44 VISLYaTKKA 52 88 30 76,ЛИСОХВОСТ ВИСЛЯТККА,Male voice
